,name,latitud,longitud,categoria
0,The Happy Hooligans,37.252252397272514,-121.90964117246659,vegan
1,Veggie Grill,37.2918937,-121.9915053,vegan
2,Ike's Sandwiches,37.26419507287754,-121.91637479702997,vegan
3,Veggie Grill,37.3210308,-121.949022,vegan
4,Sogo Tofu,37.29523830135175,-122.03142413782575,vegan
5,Mazel Products Inc.,37.2316609908725,-121.95155739784241,vegan
6,Ike's Sandwiches,37.3228007812701,-122.04121961756763,vegan
7,Ananda Bhavan,37.312499,-122.03268,vegan
8,Loving Hut,37.32614245482791,-121.94432964084655,vegan
9,Mint & Basil,37.258357,-121.874539,vegan
10,Good Karma,37.33547578302974,-121.89009385118939,vegan
11,FuelGood,37.2137786,-121.9882101,vegan
12,Vitamina Juices & Blends,37.330296164668816,-121.88632717974279,vegan
13,Vegetarian House,37.341433051588915,-121.87917600579642,vegan
14,Bhavika's,37.35296623793759,-122.0040471258478,vegan
15,Tofoo Com Chay,37.33993504196706,-121.88235410455921,vegan
16,Ike's Sandwiches,37.293047,-121.997037,vegan
17,deedee's,37.343718446032305,-121.9406861466985,vegan
18,sweetgreen,37.3683309,-122.0354727,vegan
19,Abhiruchi,37.353974,-122.01463899999999,vegan
20,Loving Hut San Jose,37.251996942758915,-121.86098677416385,vegan
21,Merit Vegetarian Restaurant,37.384908488670106,-121.9951239760473,vegan
22,Green Lotus,37.32295227050781,-121.93231201171875,vegan
23,Madras Cafe,37.37428933253072,-122.05491999826636,vegan
24,Veggie Tasty Vegetarian House,37.251175,-121.85834,vegan
25,Clean Eating with Katie,37.338702000000005,-121.942205,vegan
26,Lang Chay,37.33282576061486,-121.85440349568175,vegan
27,Golden Bamboo,37.315369,-121.793331,vegan
28,Raw Vittles,37.33930772,-121.93835143,vegan
29,Peacock Indian Cuisine,37.35198682571322,-121.97731920128297,vegan
30,Garden Fresh Vegetarian Restaurant,37.38789057930723,-122.0889868579906,vegan
31,sweetgreen,37.3909007,-122.0811452,vegan
32,The Happy Hooligans,37.35659,-121.94696,vegan
33,Cinnaholic,37.3328558338071,-121.88492041104507,vegan
34,Vegan Veganos,37.33602063251835,-121.88966050503568,vegan
35,Vegan Donuts & Cafe,37.340877532958984,-121.88145446777344,vegan
36,The Green Barn,37.428294341288776,-121.91974615558873,vegan
37,Tinh Tam Chay,37.33178,-121.856765,vegan
38,Veggie Garden,37.39896753425086,-122.10877700550938,vegan
39,Binh Minh Tofu,37.315391,-121.835448,vegan
40,Veggie Grill,37.4027615,-122.1122308,vegan
41,Brother Baby's BBQ,37.3607916,-121.8991962,vegan
42,Dong Phuong Tofu,37.3326707700786,-121.8529058124406,vegan
43,Chaat Paradise,37.378562774740146,-122.07110084632114,vegan
44,An Dong Tofu,37.318706,-121.827886,vegan
45,Bo De Vegetarian Restaurant,37.308487,-121.814006,vegan
46,Vegefarm International Corp,37.385729887613046,-121.90851672281273,vegan
47,Dong Phuong Tofu,37.36757722850053,-121.84827492344634,vegan
48,Mint & Basil,37.455518520826224,-121.91154375381132,vegan
49,Di Lac Vegetarian Restaurant,37.32432556152344,-121.79798889160156,vegan
50,SJ Vegetarian,37.396342,-121.88920700000001,vegan
51,Sri's Kitchen,37.41086084497713,-121.94593038741806,vegan
52,Dosa Cafe,37.32330322265625,-121.7959213256836,vegan
53,Beefsteak,37.40766132955552,-122.02149474879792,vegan
54,Heyo! Eats,37.392036,-122.080226,vegan
55,Loving Hut,37.42087245286653,-121.91625220186718,vegan
56,Loving Hut,37.416004,-121.896255,vegan
57,Kitchen table,37.074939,-121.993595,vegan
58,The Harker School Preschool,37.254871,-121.932928,nursery
59,Sweet Hearts Preschool,37.2719855,-121.9355339,nursery
60,Centro Armonia Preschool,37.28520780766802,-121.95995371482651,nursery
61,Action Day Primary Plus,37.28661352931024,-121.96959929880423,nursery
62,Little Tree Montessori International School,37.293321999999996,-121.96251699999999,nursery
63,Village Preschool,37.258916,-122.030511,nursery
64,Action Day Primary Plus - Amber,37.30457509985036,-121.95923301822354,nursery
65,Action Day Primary Plus,37.27177100016323,-122.03178048177506,nursery
66,Action Day Primary Plus - West Valley,37.312259674072266,-121.9722671508789,nursery
67,Growing Tree Bilingual Montessori Preschool,37.293627,-122.03193300000001,nursery
68,Action Day Primary Plus,37.31564096627246,-121.94888746882117,nursery
69,Los Gatos Bar & Grill,37.22306028501834,-121.98388161246989,bar
70,Number One Broadway,37.22157562872523,-121.98460906819251,bar
71,Milano Nightclub,37.3308204655532,-121.8848417330974,bar
72,81 | Downtown San Jose Nightclub,37.33579590102886,-121.89175486564636,bar
73,Enso Nightclub,37.337272,-121.888855,bar
74,Fiesta Nightclub,37.282680360638295,-121.83896408521468,bar
